,,,,,,,,,,,,圖片,,,,圖片,,,
電池機v2,,電池機v3-室內,,電池機v3-室外,,Ai4免換袋-2.7,,Ai4免換袋-2.1,,Ai4免換袋-1.8,,Ai4-單機,,瓶蓋箱,,台塑便利家-洗寶,,台塑便利家-水精靈,
W41 x H162.3 x D47.8(不含腳柱),,W41 x H175 x D34(不含腳柱),,W41 x H175 x D34(不含腳柱),,W268.3x H220 x D118,,W208.3 x H220 x D112.9(含投瓶蓋),,W180.3 x H220 x D112.9(含投瓶蓋),,W88xH189.1xD89.7,,W23.5xH93xD30.5,,W85 x H180 x D67,,W88 x H190 x D85,
battery_v2,,battery_v3_in,,battery_v3_out,,ai4_2.7,,ai4_2.1,,ai4_1.8,,ai4_single,,ai4_cap,,refill_v1,,refill_v2,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
